"cod_crop","codigo_ibg","nome","crop","P_dependency","contribution","CV","yields.mean.y","yields.sd.y","z","yield","area","FC","patchD","year.length.mean"
"1","2401206 canazucar",2401206,"Arês (RN)","canazucar",0,"none",0.177617683812302,68979.2465543515,17911.7656219952,-0.823754560245943,54224.35,5030.38,22.86,18955.33,34
"2","2401404 canazucar",2401404,"Baía Formosa (RN)","canazucar",0,"none",0.17209642782217,68979.2465543515,17911.7656219952,-0.894270911319126,52961.28,10919.62,29.14,15619.59,34
"3","2401404 coco",2401404,"Baía Formosa (RN)","coco",0.25,"modest",0.0445361771415123,5030.40884836852,3670.87124923009,-0.621217333309308,2750,2166.67,28.29,13694.97,10
"4","2402204 canazucar",2402204,"Canguaretama (RN)","canazucar",0,"none",0.19054958995474,68979.2465543515,17911.7656219952,-0.97476151475573,51519.55,8318.26,18.17,17907.78,34
"5","2408201 coco",2408201,"Nísia Floresta (RN)","coco",0.25,"modest",0.039187384373946,5030.40884836852,3670.87124923009,-0.531459860864829,3079.49,1857.56,19.89,23524.58,29
"6","2414209 canazucar",2414209,"Tibau do Sul (RN)","canazucar",0,"none",0.129435555390662,68979.2465543515,17911.7656219952,-0.688039292967186,56655.25,1590.24,23.29,25727.31,25
"7","2415008 canazucar",2415008,"Vila Flor (RN)","canazucar",0,"none",0.207118582706828,68979.2465543515,17911.7656219952,-0.56596228652246,58841.86,1311.55,13.53,11740.99,11
"8","2500601 canazucar",2500601,"Alhandra (PB)","canazucar",0,"none",0.128588986476964,68979.2465543515,17911.7656219952,-1.0496276275112,50178.56,3313.64,11.52,22749.26,28
"9","2501401 canazucar",2501401,"Baía da Traição (PB)","canazucar",0,"none",0.118111439644168,68979.2465543515,17911.7656219952,-1.18843330754083,47692.31,1266.15,22.56,40382.63,13
"10","2503001 canazucar",2503001,"Caaporã (PB)","canazucar",0,"none",0.207178079976014,68979.2465543515,17911.7656219952,-1.15976083205897,48205.88,5779.71,16.93,22906.37,34
"11","2504900 canazucar",2504900,"Cruz do Espírito Santo (PB)","canazucar",0,"none",0.324265032720319,68979.2465543515,17911.7656219952,-0.952864290916734,51911.76,7429.12,15.8,7248.81,34
"12","2507903 canazucar",2507903,"Juripiranga (PB)","canazucar",0,"none",0.264760589533166,68979.2465543515,17911.7656219952,-0.732582430262059,55857.4,4838.24,1.32,8029.08,34
"13","2508604 canazucar",2508604,"Lucena (PB)","canazucar",0,"none",0.265117217687502,68979.2465543515,17911.7656219952,-0.975853580586575,51499.99,1913.38,17.12,32393.16,32
"14","2508604 coco",2508604,"Lucena (PB)","coco",0.25,"modest",0.133552318020575,5030.40884836852,3670.87124923009,-0.0536755904318846,4833.37,1626.67,17.55,31539.52,27
"15","2509057 canazucar",2509057,"Marcação (PB)","canazucar",0,"none",0.180718888992152,68979.2465543515,17911.7656219952,-1.47096987326748,42631.58,2907.37,19.81,22365.38,19
"16","2509305 canazucar",2509305,"Mataraca (PB)","canazucar",0,"none",0.214215087863158,68979.2465543515,17911.7656219952,-1.12555415072147,48818.58,4091.18,15.86,15092.62,34
"17","2511202 canazucar",2511202,"Pedras de Fogo (PB)","canazucar",0,"none",0.207476064759865,68979.2465543515,17911.7656219952,-0.84120584014156,53911.76,26408.09,9.24,17167.16,34
"18","2511905 canazucar",2511905,"Pitimbu (PB)","canazucar",0,"none",0.150040770148543,68979.2465543515,17911.7656219952,-1.0299379333212,50531.24,3140.62,18.86,37467.19,32
"19","2511905 coco",2511905,"Pitimbu (PB)","coco",0.25,"modest",0.0367659266487843,5030.40884836852,3670.87124923009,-0.81228851088188,2048.6,2083.85,18.62,35682.1,27
"20","2512903 canazucar",2512903,"Rio Tinto (PB)","canazucar",0,"none",0.228153818886227,68979.2465543515,17911.7656219952,-1.20556380180172,47385.47,7976.26,24.58,13932.05,34
"21","2513703 canazucar",2513703,"Santa Rita (PB)","canazucar",0,"none",0.179471603497576,68979.2465543515,17911.7656219952,-1.18999542821374,47664.33,15202.91,24.34,13922.52,34
"22","2513703 coco",2513703,"Santa Rita (PB)","coco",0.25,"modest",4.91660623338293e-05,5030.40884836852,3670.87124923009,-0.55310356466312,3000.04,1606.25,23.62,12062.13,21
"23","2600401 canazucar",2600401,"Água Preta (PE)","canazucar",0,"none",0.108397666824695,68979.2465543515,17911.7656219952,-1.11832557966261,48948.06,16462.79,20.1,23688.76,34
"24","2600708 canazucar",2600708,"Aliança (PE)","canazucar",0,"none",0.144986924879029,68979.2465543515,17911.7656219952,-0.906940253856692,52734.35,13150.26,5.91,19119.99,34
"25","2600906 banana",2600906,"Amaraji (PE)","banana",0,"none",0.119131517761431,14182.9091206691,7161.18261640659,-0.858771595431674,8033.09,1730.7,20.15,26661.48,10
"26","2600906 canazucar",2600906,"Amaraji (PE)","canazucar",0,"none",0.132320514301912,68979.2465543515,17911.7656219952,-1.02440550236443,50630.34,6827.21,21.12,30820.49,34
"27","2601052 canazucar",2601052,"Araçoiaba (PE)","canazucar",0,"none",0.243356249824076,68979.2465543515,17911.7656219952,-0.711998665578655,56226.09,1321.11,25.61,25204.33,18
"28","2601409 canazucar",2601409,"Barreiros (PE)","canazucar",0,"none",0.132294394301126,68979.2465543515,17911.7656219952,-1.10391871668846,49206.11,7468.65,21.82,31990.68,34
"29","2602704 canazucar",2602704,"Buenos Aires (PE)","canazucar",0,"none",0.136628188158926,68979.2465543515,17911.7656219952,-1.11800618723231,48953.78,4335.32,6.63,29499.92,34
"30","2602902 canazucar",2602902,"Cabo de Santo Agostinho (PE)","canazucar",0,"none",0.128484301001681,68979.2465543515,17911.7656219952,-1.12618554641988,48807.28,11028.65,24.73,30232.28,34
"31","2603603 canazucar",2603603,"Camutanga (PE)","canazucar",0,"none",0.137096310699329,68979.2465543515,17911.7656219952,-0.905643315076431,52757.58,2505.88,8.91,29164.38,33
"32","2604403 canazucar",2604403,"Chã de Alegria (PE)","canazucar",0,"none",0.134505443147932,68979.2465543515,17911.7656219952,-1.25846751009756,46437.87,4538.82,3.22,21260.7,34
"33","2604601 canazucar",2604601,"Condado (PE)","canazucar",0,"none",0.144012894962525,68979.2465543515,17911.7656219952,-0.894378530361241,52959.35,4368.12,9.25,29294.43,34
"34","2604700 feijao",2604700,"Correntes (PE)","feijao",0.05,"low",0.227294545714595,925.740212932724,477.475717253513,-1.13950342032545,381.65,1425.62,4.1,11336.16,16
"35","2604809 canazucar",2604809,"Cortês (PE)","canazucar",0,"none",0.138728410320346,68979.2465543515,17911.7656219952,-1.07174169041957,49782.46,4209.62,20.37,33998.73,34
"36","2605202 canazucar",2605202,"Escada (PE)","canazucar",0,"none",0.132383993539254,68979.2465543515,17911.7656219952,-1.07176262637909,49782.09,12712.06,11.21,27379.42,34
"37","2605509 canazucar",2605509,"Ferreiros (PE)","canazucar",0,"none",0.148894390367409,68979.2465543515,17911.7656219952,-0.951427509381024,51937.5,3717.44,2.92,12152.98,32
"38","2605905 canazucar",2605905,"Gameleira (PE)","canazucar",0,"none",0.106235265865787,68979.2465543515,17911.7656219952,-1.0793367803431,49646.42,10588.06,17.02,24109.73,34
"39","2606101 canazucar",2606101,"Glória do Goitá (PE)","canazucar",0,"none",0.144883416746449,68979.2465543515,17911.7656219952,-1.42215651650386,43505.91,2269.38,3.12,11207.58,34
"40","2606101 mandioca",2606101,"Glória do Goitá (PE)","mandioca",0,"none",0.077302155540332,18466.8406351183,5721.54763854273,-1.45068685831403,10166.67,5313.89,3.18,13340,18
"41","2606200 canazucar",2606200,"Goiana (PE)","canazucar",0,"none",0.137417544146141,68979.2465543515,17911.7656219952,-0.886730517616116,53096.34,15166.85,28.13,17252.51,34
"42","2606200 coco",2606200,"Goiana (PE)","coco",0.25,"modest",0.0466197179500174,5030.40884836852,3670.87124923009,0.0011747624306854,5034.72,2401.88,27.37,15003.05,34
"43","2606804 canazucar",2606804,"Igarassu (PE)","canazucar",0,"none",0.137917917806221,68979.2465543515,17911.7656219952,-0.65955800049942,57165.4,9130.91,37.28,19355.79,34
