"x";"y";"codigo_ibg"
"0";-53.41355388;-33.65293968;"4305439"
"1";-52.66918093;-29.44147893;"4309571"
"2";-45.5575614;-16.70163595;"3157609"
"3";-39.69395738;-17.65722638;"2906907"
"4";-39.33547661;-7.37014786;"2301901"
"5";-62.27457395;-12.47004484;"1100015"
"6";-54.29804688;-27.59087326;"4309605"
"7";-46.75313553;-21.75345306;"3550803"
"8";-40.65879763;-16.90368607;"3157658"
"9";-38.62057725;-4.32743229;"2301950"
"10";-37.94910047;-12.03667512;"2907004"
"11";-62.95737341;-9.9519325;"1100023"
"12";-53.88930306;-31.44747384;"4309654"
"13";-47.5681904;-21.46133864;"3550902"
"14";-47.50883427;-19.38115494;"3157708"
"15";-43.85192217;-13.99781133;"2907103"
"16";-38.79462572;-7.125195;"2302008"
"17";-60.6396963;-13.47488705;"1100031"
"18";-53.97946466;-27.57445063;"4309704"
"19";-46.48879254;-23.95845959;"3551009"
"20";-43.83711837;-19.74514004;"3157807"
"21";-41.33668584;-9.23994527;"2907202"
"22";-41.17410044;-2.97089704;"2302057"
"23";-61.32466689;-11.30122869;"1100049"
"24";-53.16682435;-29.41888573;"4309753"
"25";-47.78564819;-23.66377401;"3551108"
"26";-42.26655681;-20.42794118;"3157906"
"27";-39.36738931;-12.74488685;"2907301"
"28";-38.85263932;-4.38055804;"2302107"
"29";-61.26065688;-13.20353625;"1100056"
"30";-51.78747914;-28.10255102;"4309803"
"31";-49.48173175;-23.25707954;"3551207"
"32";-44.7116928;-12.28536169;"2907400"
"33";-43.06360637;-19.42820966;"3158003"
"34";-38.11411351;-4.4000825;"2302206"
"35";-60.55013949;-13.15918035;"1100064"
"36";-51.62933362;-28.38187934;"4309902"
"37";-49.91540766;-20.62927533;"3551306"
"38";-40.11748738;-16.30827942;"3158102"
"39";-40.30769256;-3.0532709;"2302305"
"40";-38.41944852;-12.32975577;"2907509"
"41";-61.09178026;-12.92659152;"1100072"
"42";-52.44229181;-28.62571956;"4309951"
"43";-47.54950206;-21.31573059;"3551405"
"44";-42.32510289;-18.25802548;"3158201"
"45";-42.31299217;-13.23586415;"2907558"
"46";-39.80868436;-5.08809391;"2302404"
"47";-63.37567725;-12.36471861;"1100080"
"48";-53.17230311;-28.59401851;"4310009"
"49";-47.61235527;-21.21694713;"3551504"
"50";-45.50567931;-21.27101733;"3158300"
"51";-42.10265221;-11.15502851;"2907608"
"52";-38.92116189;-7.55606269;"2302503"
"53";-60.78455208;-11.35113806;"1100098"
"54";-50.79427905;-29.56051596;"4310108"
"55";-46.68608872;-22.588799;"3551603"
"56";-42.55670988;-21.2829438;"3158409"
"57";-40.80094177;-2.95084374;"2302602"
"58";-39.16457512;-9.24434482;"2907707"
"59";-64.53754297;-11.3057826;"1100106"
"60";-53.894927;-28.32082519;"4310207"
"61";-48.00878367;-21.12294126;"3551702"
"62";-43.90473273;-18.91882604;"3158508"
"63";-40.27131708;-6.93703555;"2302701"
"64";-38.42224245;-10.5442153;"2907806"
"65";-62.58475776;-10.59233253;"1100114"
"66";-52.13135252;-28.93090121;"4310306"
"67";-47.93510766;-24.27382593;"3551801"
"68";-43.18357794;-21.9460676;"3158607"
"69";-39.41834717;-4.39865046;"2302800"
"70";-38.51415418;-11.11073574;"2907905"
"71";-61.7571412;-10.46208285;"1100122"
"72";-50.11760509;-29.93065454;"4310330"
"73";-48.79328789;-20.79332175;"3551900"
"74";-44.06651432;-21.63769366;"3158706"
"75";-39.58950538;-14.64300273;"2908002"
"76";-38.8997201;-4.47105325;"2302909"
"77";-62.01038863;-9.20416865;"1100130"
"78";-51.77504527;-29.34528848;"4310363"
"79";-45.22474951;-14.50045878;"2908101"
"80";-45.06330339;-20.88356583;"3158805"
"81";-44.84079001;-22.73443642;"3552007"
"82";-39.11877258;-4.17593578;"2303006"
"83";-62.23302386;-11.56427083;"1100148"
"84";-54.18058042;-27.90139321;"4310405"
"85";-46.52426103;-22.61107788;"3552106"
"86";-41.89278487;-20.05644923;"3158904"
"87";-40.52248166;-3.95170938;"2303105"
"88";-38.99210817;-12.50815238;"2908200"
"89";-62.17240211;-10.61015954;"1100155"
"90";-54.03023097;-27.90269479;"4310413"
"91";-47.44659672;-23.46434593;"3552205"
"92";-42.52118176;-19.38449909;"3158953"
"93";-39.2411891;-12.85648093;"2908309"
"94";-39.27024752;-7.02022444;"2303204"
"95";-60.83044383;-11.89445342;"1100189"
"96";-51.29876113;-28.7176958;"4310439"
"97";-50.90074534;-20.66689901;"3552304"
"98";-43.64555216;-19.18924556;"3159001"
"99";-39.46728169;-6.64615422;"2303303"
"100";-39.26427184;-11.5228212;"2908408"
"101";-64.30554705;-9.15295215;"1100205"
"102";-52.41780625;-27.93054492;"4310462"
"103";-47.26310359;-22.84119593;"3552403"
"104";-43.67026956;-20.79745468;"3159100"
"105";-41.00992127;-4.13015542;"2303402"
"106";-38.62364164;-12.25558661;"2931400"
"107";-61.8779236;-11.16620224;"1100254"
"108";-53.24173112;-27.24882319;"4310504"
"109";-46.31003715;-23.60864748;"3552502"
"110";-46.27188899;-22.02424258;"3159209"
"111";-38.30008617;-4.23840206;"2303501"
"112";-37.67748639;-11.82857815;"2908606"
"113";-62.79022052;-9.64479315;"1100262"
"114";-53.76116035;-29.57694066;"4310538"
"115";-51.07538166;-20.47347745;"3552551"
"116";-44.09595634;-22.09930162;"3159308"
"117";-42.05171478;-14.93019861;"2908705"
"118";-39.91084965;-6.25384965;"2303600"
"119";-61.77145669;-11.73257477;"1100288"
"120";-55.26724264;-28.81020959;"4310553"
"121";-49.02908544;-20.93151025;"3552601"
"122";-42.12424064;-19.87484728;"3159357"
"123";-41.09503518;-13.81663904;"2908804"
"124";-40.17525259;-4.63186235;"2303659"
"125";-61.70073656;-12.02715934;"1100296"
"126";-52.19571013;-28.77597945;"4310579"
"127";-48.63054271;-21.71313994;"3552700"
"128";-43.93065239;-21.57795902;"3159407"
"129";-38.79192806;-12.20355695;"2908903"
"130";-38.80892235;-3.78353164;"2303709"
"131";-60.2524606;-12.08802961;"1100304"
"132";-56.17554782;-29.21370342;"4310603"
"133";-46.7862456;-23.61996926;"3552809"
