NM_MUNICIP;CD_GEOCMU;full_fores;codigo_ibg;area;area_muncp;coffee;chp3;n_crops
CAIU?¸;3509106;1;3509106;0;55115;0;1;1
CASTILHO;3511003;1;3511003;0;106532;0;1;2
DRACENA;3514403;1;3514403;0;48769;1;1;5
ESTRELA DO NORTE;3515301;1;3515301;0;26499;0;1;1
EUCLIDES DA CUNHA PAULISTA;3515350;1;3515350;0;57389;0;1;1
MARAB?¸ PAULISTA;3528700;1;3528700;0;91952;0;1;3
MIRANTE DO PARANAPANEMA;3530201;1;3530201;0;123893;1;1;4
MONTE CASTELO;3531605;1;3531605;0;23355;1;1;1
NOVA GUATAPORANGA;3533106;1;3533106;0;3416;1;0;0
OURO VERDE;3534807;1;3534807;0;26677;1;1;3
PANORAMA;3535408;1;3535408;0;35606;0;0;0
PAULIC?ÎIA;3536406;1;3536406;0;37409;0;1;1
PIQUEROBI;3538303;1;3538303;0;48277;0;1;1
PRESIDENTE BERNARDES;3541208;1;3541208;0;74923;0;1;4
PRESIDENTE EPIT?¸CIO;3541307;1;3541307;0;126028;0;1;5
PRESIDENTE VENCESLAU;3541505;1;3541505;0;75520;0;1;3
RIBEIR?‚O DOS ?ÏNDIOS;3543238;1;3543238;0;19644;0;1;1
ROSANA;3544251;1;3544251;0;74401;1;1;2
SANDOVALINA;3545506;1;3545506;0;45586;1;1;1
SANTA MERCEDES;3547106;1;3547106;0;16675;1;1;1
SANTO ANAST?¸CIO;3547700;1;3547700;0;55287;0;1;4
S?‚O JO?‚O DO PAU D'ALHO;3549300;1;3549300;0;11766;1;0;0
TARABAI;3553906;1;3553906;0;20138;0;1;1
TEODORO SAMPAIO;3554300;1;3554300;0;155580;1;1;3
TUPI PAULISTA;3555109;1;3555109;0;24477;1;1;1
ABELARDO LUZ;4200101;1;4200101;0;95306;0;1;6
?¸GUAS DE CHAPEC?Ù;4200507;1;4200507;0;13983;0;1;2
?¸GUAS FRIAS;4200556;1;4200556;0;7614;0;1;1
ALTO BELA VISTA;4200754;1;4200754;0;10398;0;1;1
ANCHIETA;4200804;1;4200804;0;23199;0;1;2
ARABUT?‚;4201273;1;4201273;0;13329;0;1;1
ARVOREDO;4201653;1;4201653;0;9077;0;1;1
BANDEIRANTE;4202081;1;4202081;0;14791;0;1;1
BARRA BONITA;4202099;1;4202099;0;9311;0;1;1
BELMONTE;4202156;1;4202156;0;9287;0;1;1
BOM JESUS;4202537;1;4202537;0;6347;0;1;2
BOM JESUS DO OESTE;4202578;1;4202578;0;6709;0;1;1
CAIBI;4203105;1;4203105;0;17484;0;1;3
CAMPO ER?Ë;4203501;1;4203501;0;47909;0;1;6
CAPINZAL;4203907;1;4203907;0;24420;0;1;3
CATANDUVAS;4204004;1;4204004;0;19730;0;1;1
CAXAMBU DO SUL;4204103;1;4204103;0;14071;0;1;4
CHAPEC?Ù;4204202;1;4204202;0;62606;0;1;4
CONC?ÙRDIA;4204301;1;4204301;0;79945;0;1;3
CORDILHEIRA ALTA;4204350;1;4204350;0;8286;0;1;1
CORONEL FREITAS;4204400;1;4204400;0;23397;0;1;3
CORONEL MARTINS;4204459;1;4204459;0;10730;0;1;2
CUNHA POR?‚;4204707;1;4204707;0;21791;0;1;3
CUNHATA?Ï;4204756;1;4204756;0;5577;0;1;1
DESCANSO;4204905;1;4204905;0;28739;0;1;2
DION?ÏSIO CERQUEIRA;4205001;1;4205001;0;37924;0;1;4
ENTRE RIOS;4205175;1;4205175;0;10455;0;1;2
FAXINAL DOS GUEDES;4205308;1;4205308;0;33970;0;1;4
FLOR DO SERT?‚O;4205357;1;4205357;0;5873;0;1;1
FORMOSA DO SUL;4205431;1;4205431;0;10010;0;1;1
GALV?‚O;4205605;1;4205605;0;13934;0;1;3
GUARACIABA;4206405;1;4206405;0;33057;0;1;3
GUARUJ?¸ DO SUL;4206603;1;4206603;0;10022;0;1;2
GUATAMB?‹;4206652;1;4206652;0;20587;0;1;2
IPIRA;4207601;1;4207601;0;15456;0;1;1
IPOR?‚ DO OESTE;4207650;1;4207650;0;19930;0;1;2
IPUA?ÁU;4207684;1;4207684;0;26089;0;1;3
IPUMIRIM;4207700;1;4207700;0;24772;0;1;2
IRACEMINHA;4207759;1;4207759;0;16311;0;1;3
IRANI;4207809;1;4207809;0;32574;0;1;2
IRATI;4207858;1;4207858;0;7828;0;1;1
IT?¸;4208005;1;4208005;0;16587;0;1;3
ITAPIRANGA;4208401;1;4208401;0;28303;0;1;3
JABOR?¸;4208609;1;4208609;0;18215;0;1;1
JARDIN?ÙPOLIS;4208955;1;4208955;0;6768;0;1;1
JOA?ÁABA;4209003;1;4209003;0;24211;0;1;1
JUPI?¸;4209177;1;4209177;0;9206;0;1;2
LACERD?ÙPOLIS;4209201;1;4209201;0;6889;0;1;1
LAJEADO GRANDE;4209458;1;4209458;0;6528;0;1;2
LIND?ÙIA DO SUL;4209854;1;4209854;0;18864;0;1;1
LUZERNA;4210035;1;4210035;0;11838;0;1;1
MARAVILHA;4210506;1;4210506;0;17128;0;1;4
MAREMA;4210555;1;4210555;0;10407;0;1;1
MODELO;4210902;1;4210902;0;9111;0;1;3
MONDA?Ï;4211009;1;4211009;0;20215;0;1;2
NOVA ERECHIM;4211405;1;4211405;0;6489;0;1;2
NOVA ITABERABA;4211454;1;4211454;0;13755;0;1;1
NOVO HORIZONTE;4211652;1;4211652;0;15185;0;1;1
OURO;4211801;1;4211801;0;21358;0;1;1
OURO VERDE;4211850;1;4211850;0;18922;0;1;4
PAIAL;4211876;1;4211876;0;8576;0;1;1
PALMA SOLA;4212007;1;4212007;0;33010;0;1;3
PALMITOS;4212106;1;4212106;0;35250;0;1;4
PARA?ÏSO;4212239;1;4212239;0;18184;0;1;1
PASSOS MAIA;4212270;1;4212270;0;61916;0;1;2
PERITIBA;4212601;1;4212601;0;9584;0;1;1
PINHALZINHO;4212908;1;4212908;0;12816;0;1;3
PIRATUBA;4213104;1;4213104;0;14598;0;1;2
PLANALTO ALEGRE;4213153;1;4213153;0;6246;0;1;2
PONTE SERRADA;4213401;1;4213401;0;56449;0;1;2
PRESIDENTE CASTELLO BRANCO;4213906;1;4213906;0;6560;0;1;1
PRINCESA;4214151;1;4214151;0;8618;0;1;1
QUILOMBO;4214201;1;4214201;0;28026;0;1;3
RIQUEZA;4215075;1;4215075;0;19191;0;1;2
ROMEL?ÈNDIA;4215208;1;4215208;0;22257;0;1;1
SALTINHO;4215356;1;4215356;0;15653;0;1;1
SANTA HELENA;4215554;1;4215554;0;8123;0;1;1
SANTA TEREZINHA DO PROGRESSO;4215687;1;4215687;0;11880;0;1;1
SANTIAGO DO SUL;4215695;1;4215695;0;7384;0;1;1
S?‚O BERNARDINO;4215752;1;4215752;0;14902;0;1;1
S?‚O CARLOS;4216008;1;4216008;0;16129;0;1;2
S?‚O DOMINGOS;4216107;1;4216107;0;36720;0;1;5
S?‚O JO?‚O DO OESTE;4216255;1;4216255;0;16330;0;1;1
S?‚O JOS?Î DO CEDRO;4216701;1;4216701;0;28125;0;1;3
S?‚O LOUREN?ÁO DO OESTE;4216909;1;4216909;0;35632;0;1;3
S?‚O MIGUEL DA BOA VISTA;4217154;1;4217154;0;7140;0;1;1
S?‚O MIGUEL DO OESTE;4217204;1;4217204;0;23404;0;1;3
SAUDADES;4217303;1;4217303;0;20660;0;1;3
SEARA;4217501;1;4217501;0;31098;0;1;3
SERRA ALTA;4217550;1;4217550;0;9235;0;1;2
SUL BRASIL;4217758;1;4217758;0;11287;0;1;1
TIGRINHOS;4217956;1;4217956;0;5794;0;1;1
TUN?¸POLIS;4218756;1;4218756;0;13329;0;1;1
UNI?‚O DO OESTE;4218855;1;4218855;0;9262;0;1;2
VARGE?‚O;4219101;1;4219101;0;16665;0;1;2
VARGEM BONITA;4219176;1;4219176;0;29850;0;1;1
