codigo_ibg,NM_MUN,SIGLA_UF,cod_meso,NM_MESO
1100015,Alta Floresta D'Oeste,RO,1102,Leste Rondoniense
1100023,Ariquemes,RO,1102,Leste Rondoniense
1100031,Cabixi,RO,1102,Leste Rondoniense
1100049,Cacoal,RO,1102,Leste Rondoniense
1100056,Cerejeiras,RO,1102,Leste Rondoniense
1100064,Colorado do Oeste,RO,1102,Leste Rondoniense
1100072,Corumbiara,RO,1102,Leste Rondoniense
1100080,Costa Marques,RO,1101,Madeira-Guapor?®
1100098,Espig?úo D'Oeste,RO,1102,Leste Rondoniense
1100106,Guajar?í-Mirim,RO,1101,Madeira-Guapor?®
1100114,Jaru,RO,1102,Leste Rondoniense
1100122,Ji-Paran?í,RO,1102,Leste Rondoniense
1100130,Machadinho D'Oeste,RO,1102,Leste Rondoniense
1100148,Nova Brasil?óndia D'Oeste,RO,1102,Leste Rondoniense
1100155,Ouro Preto do Oeste,RO,1102,Leste Rondoniense
1100189,Pimenta Bueno,RO,1102,Leste Rondoniense
1100205,Porto Velho,RO,1101,Madeira-Guapor?®
1100254,Presidente M?®dici,RO,1102,Leste Rondoniense
1100262,Rio Crespo,RO,1102,Leste Rondoniense
1100288,Rolim de Moura,RO,1102,Leste Rondoniense
1100296,Santa Luzia D'Oeste,RO,1102,Leste Rondoniense
1100304,Vilhena,RO,1102,Leste Rondoniense
1100320,S?úo Miguel do Guapor?®,RO,1102,Leste Rondoniense
1100338,Nova Mamor?®,RO,1101,Madeira-Guapor?®
1100346,Alvorada D'Oeste,RO,1102,Leste Rondoniense
1100379,Alto Alegre dos Parecis,RO,1102,Leste Rondoniense
1100403,Alto Para?¡so,RO,1102,Leste Rondoniense
1100452,Buritis,RO,1101,Madeira-Guapor?®
1100502,Novo Horizonte do Oeste,RO,1102,Leste Rondoniense
1100601,Cacaul?óndia,RO,1102,Leste Rondoniense
1100700,Campo Novo de Rond??nia,RO,1101,Madeira-Guapor?®
1100809,Candeias do Jamari,RO,1101,Madeira-Guapor?®
1100908,Castanheiras,RO,1102,Leste Rondoniense
1100924,Chupinguaia,RO,1102,Leste Rondoniense
1100940,Cujubim,RO,1101,Madeira-Guapor?®
1101005,Governador Jorge Teixeira,RO,1102,Leste Rondoniense
1101104,Itapu?ú do Oeste,RO,1101,Madeira-Guapor?®
1101203,Ministro Andreazza,RO,1102,Leste Rondoniense
1101302,Mirante da Serra,RO,1102,Leste Rondoniense
1101401,Monte Negro,RO,1102,Leste Rondoniense
1101435,Nova Uni?úo,RO,1102,Leste Rondoniense
1101450,Parecis,RO,1102,Leste Rondoniense
1101468,Pimenteiras do Oeste,RO,1102,Leste Rondoniense
1101476,Primavera de Rond??nia,RO,1102,Leste Rondoniense
1101484,S?úo Felipe D'Oeste,RO,1102,Leste Rondoniense
1101492,S?úo Francisco do Guapor?®,RO,1101,Madeira-Guapor?®
1101500,Seringueiras,RO,1102,Leste Rondoniense
1101559,Teixeir??polis,RO,1102,Leste Rondoniense
1101609,Theobroma,RO,1102,Leste Rondoniense
1101708,Urup?í,RO,1102,Leste Rondoniense
1101757,Vale do Anari,RO,1102,Leste Rondoniense
1101807,Vale do Para?¡so,RO,1102,Leste Rondoniense
1200013,Acrel?óndia,AC,1202,Vale do Acre
1200054,Assis Brasil,AC,1202,Vale do Acre
1200104,Brasil?®ia,AC,1202,Vale do Acre
1200138,Bujari,AC,1202,Vale do Acre
1200179,Capixaba,AC,1202,Vale do Acre
1200203,Cruzeiro do Sul,AC,1201,Vale do Juru?í
1200252,Epitaciol?óndia,AC,1202,Vale do Acre
1200302,Feij??,AC,1201,Vale do Juru?í
1200328,Jord?úo,AC,1201,Vale do Juru?í
1200336,M?óncio Lima,AC,1201,Vale do Juru?í
1200344,Manoel Urbano,AC,1202,Vale do Acre
1200351,Marechal Thaumaturgo,AC,1201,Vale do Juru?í
1200385,Pl?ícido de Castro,AC,1202,Vale do Acre
1200393,Porto Walter,AC,1201,Vale do Juru?í
1200401,Rio Branco,AC,1202,Vale do Acre
1200427,Rodrigues Alves,AC,1201,Vale do Juru?í
1200435,Santa Rosa do Purus,AC,1202,Vale do Acre
1200450,Senador Guiomard,AC,1202,Vale do Acre
1200500,Sena Madureira,AC,1202,Vale do Acre
1200609,Tarauac?í,AC,1201,Vale do Juru?í
1200708,Xapuri,AC,1202,Vale do Acre
1200807,Porto Acre,AC,1202,Vale do Acre
1300029,Alvar?úes,AM,1303,Centro Amazonense
1300060,Amatur?í,AM,1302,Sudoeste Amazonense
1300086,Anam?ú,AM,1303,Centro Amazonense
1300102,Anori,AM,1303,Centro Amazonense
1300144,Apu?¡,AM,1304,Sul Amazonense
1300201,Atalaia do Norte,AM,1302,Sudoeste Amazonense
1300300,Autazes,AM,1303,Centro Amazonense
1300409,Barcelos,AM,1301,Norte Amazonense
1300508,Barreirinha,AM,1303,Centro Amazonense
1300607,Benjamin Constant,AM,1302,Sudoeste Amazonense
1300631,Beruri,AM,1303,Centro Amazonense
1300680,Boa Vista do Ramos,AM,1303,Centro Amazonense
1300706,Boca do Acre,AM,1304,Sul Amazonense
1300805,Borba,AM,1304,Sul Amazonense
1300839,Caapiranga,AM,1303,Centro Amazonense
1300904,Canutama,AM,1304,Sul Amazonense
1301001,Carauari,AM,1302,Sudoeste Amazonense
1301100,Careiro,AM,1303,Centro Amazonense
1301159,Careiro da V?írzea,AM,1303,Centro Amazonense
1301209,Coari,AM,1303,Centro Amazonense
1301308,Codaj?ís,AM,1303,Centro Amazonense
1301407,Eirunep?®,AM,1302,Sudoeste Amazonense
1301506,Envira,AM,1302,Sudoeste Amazonense
1301605,Fonte Boa,AM,1302,Sudoeste Amazonense
1301654,Guajar?í,AM,1302,Sudoeste Amazonense
1301704,Humait?í,AM,1304,Sul Amazonense
1301803,Ipixuna,AM,1302,Sudoeste Amazonense
1301852,Iranduba,AM,1303,Centro Amazonense
1301902,Itacoatiara,AM,1303,Centro Amazonense
1301951,Itamarati,AM,1302,Sudoeste Amazonense
1302009,Itapiranga,AM,1303,Centro Amazonense
1302108,Japur?í,AM,1301,Norte Amazonense
1302207,Juru?í,AM,1302,Sudoeste Amazonense
1302306,Juta?¡,AM,1302,Sudoeste Amazonense
1302405,L?íbrea,AM,1304,Sul Amazonense
1302504,Manacapuru,AM,1303,Centro Amazonense
1302553,Manaquiri,AM,1303,Centro Amazonense
1302603,Manaus,AM,1303,Centro Amazonense
1302702,Manicor?®,AM,1304,Sul Amazonense
1302801,Mara?ú,AM,1301,Norte Amazonense
1302900,Mau?®s,AM,1303,Centro Amazonense
1303007,Nhamund?í,AM,1303,Centro Amazonense
1303106,Nova Olinda do Norte,AM,1303,Centro Amazonense
1303205,Novo Air?úo,AM,1301,Norte Amazonense
1303304,Novo Aripuan?ú,AM,1304,Sul Amazonense
1303403,Parintins,AM,1303,Centro Amazonense
1303502,Pauini,AM,1304,Sul Amazonense
1303536,Presidente Figueiredo,AM,1303,Centro Amazonense
1303569,Rio Preto da Eva,AM,1303,Centro Amazonense
1303601,Santa Isabel do Rio Negro,AM,1301,Norte Amazonense
1303700,Santo Ant??nio do I?º?í,AM,1302,Sudoeste Amazonense
1303809,S?úo Gabriel da Cachoeira,AM,1301,Norte Amazonense
1303908,S?úo Paulo de Oliven?ºa,AM,1302,Sudoeste Amazonense
1303957,S?úo Sebasti?úo do Uatum?ú,AM,1303,Centro Amazonense
1304005,Silves,AM,1303,Centro Amazonense
1304062,Tabatinga,AM,1302,Sudoeste Amazonense
1304104,Tapau?í,AM,1304,Sul Amazonense
1304203,Tef?®,AM,1303,Centro Amazonense
1304237,Tonantins,AM,1302,Sudoeste Amazonense
1304260,Uarini,AM,1303,Centro Amazonense
1304302,Urucar?í,AM,1303,Centro Amazonense
1304401,Urucurituba,AM,1303,Centro Amazonense
1400027,Amajari,RR,1401,Norte de Roraima
1400050,Alto Alegre,RR,1401,Norte de Roraima
1400100,Boa Vista,RR,1401,Norte de Roraima
1400159,Bonfim,RR,1401,Norte de Roraima
1400175,Cant?í,RR,1401,Norte de Roraima
1400209,Caracara?¡,RR,1402,Sul de Roraima
1400233,Caroebe,RR,1402,Sul de Roraima
1400282,Iracema,RR,1402,Sul de Roraima
1400308,Mucaja?¡,RR,1402,Sul de Roraima
1400407,Normandia,RR,1401,Norte de Roraima
1400456,Pacaraima,RR,1401,Norte de Roraima
1400472,Rorain??polis,RR,1402,Sul de Roraima
1400506,S?úo Jo?úo da Baliza,RR,1402,Sul de Roraima
1400605,S?úo Luiz,RR,1402,Sul de Roraima
1400704,Uiramut?ú,RR,1401,Norte de Roraima
1500107,Abaetetuba,PA,1504,Nordeste Paraense
